timestamp_utc,favorite_count
2026-07-25T13:39:27+00:00,761
2026-07-25T14:00:00+00:00,1062
2026-07-25T15:00:00+00:00,1815
2026-07-25T16:00:00+00:00,2385
2026-07-25T17:00:00+00:00,2884
2026-07-25T18:00:00+00:00,3245
2026-07-25T19:00:00+00:00,3513
2026-07-25T21:00:00+00:00,3795
2026-07-25T22:00:00+00:00,3964
2026-07-25T23:00:00+00:00,4306
2026-07-26T00:00:00+00:00,4947
2026-07-26T01:00:00+00:00,5588
2026-07-26T02:00:00+00:00,6090
2026-07-26T03:00:00+00:00,6584
2026-07-26T04:00:00+00:00,7067
2026-07-26T05:00:00+00:00,7488
2026-07-26T06:00:00+00:00,7910
2026-07-26T07:00:00+00:00,8357
