timestamp_utc,favorite_count
2026-08-21T10:21:02+00:00,389894
2026-08-21T11:00:00+00:00,389906
2026-08-21T12:00:00+00:00,389918
2026-08-21T13:00:00+00:00,389933
2026-08-21T14:00:00+00:00,389966
2026-08-21T15:00:00+00:00,389985
2026-08-21T16:00:00+00:00,389996
2026-08-21T17:00:00+00:00,390005
2026-08-21T18:00:00+00:00,390019
2026-08-21T19:00:00+00:00,390021
2026-08-21T20:00:00+00:00,390024
2026-08-21T21:00:00+00:00,390028
2026-08-21T22:00:00+00:00,390032
2026-08-21T23:00:00+00:00,390037
2026-08-22T00:00:00+00:00,390046
2026-08-22T01:00:00+00:00,390053
2026-08-22T02:00:00+00:00,390057
2026-08-22T03:00:00+00:00,390073
2026-08-22T04:00:00+00:00,390085
2026-08-22T05:00:00+00:00,390097
2026-08-22T06:00:00+00:00,390107
2026-08-22T07:00:00+00:00,390116
2026-08-22T08:00:00+00:00,390127
2026-08-22T09:00:00+00:00,390131
2026-08-22T10:00:00+00:00,390138
2026-08-22T11:00:00+00:00,390142
2026-08-22T12:00:00+00:00,390152
2026-08-22T13:00:00+00:00,390159
2026-08-22T14:00:00+00:00,390168
2026-08-22T15:00:00+00:00,390180
2026-08-22T16:00:00+00:00,390189
2026-08-22T17:00:00+00:00,390193
2026-08-22T18:00:00+00:00,390198
2026-08-22T19:00:00+00:00,390199
2026-08-22T20:00:00+00:00,390200
2026-08-22T21:00:00+00:00,390201
2026-08-22T22:00:00+00:00,390204
2026-08-22T23:00:00+00:00,390204
2026-08-23T00:00:00+00:00,390210
2026-08-23T01:00:00+00:00,390217
2026-08-23T02:00:00+00:00,390222
